method_key,method,dataset,batch_size,max_samples,measured_samples,measured_batches,wall_clock_latency_ms,wall_clock_latency_per_sample_ms,throughput_samples_per_s,mean_compute_profiled,start_gpu_memory_mb,peak_gpu_memory_mb,peak_gpu_memory_delta_mb
original,Original,textvqa,1,8,7,7,682.5874401256442,682.5874401256442,1.4650137714457938,1.0,1654.119140625,1820.8115234375,166.6923828125
original,Original,textvqa,2,8,6,3,850.7553664967418,425.3776832483709,2.3508520530827113,1.0,1673.771484375,2003.90087890625,330.12939453125
qacr_b045,QACR b0.45,textvqa,1,8,7,7,561.9216924533248,561.9216924533248,1.779607396244208,0.44983077900750296,1670.39501953125,1836.94384765625,166.548828125
qacr_b045,QACR b0.45,textvqa,2,8,6,3,588.5605489214262,294.2802744607131,3.3981210661589953,0.4498640100161235,1692.23193359375,2027.42431640625,335.1923828125
token_pruning,TokenPruning@0.45,textvqa,1,8,7,7,465.3214097821287,465.3214097821287,2.1490522012907527,0.45000000000000007,1669.65185546875,1834.64111328125,164.9892578125
token_pruning,TokenPruning@0.45,textvqa,2,8,6,3,528.3007749045888,264.1503874522944,3.7857222533152637,0.45,1688.67919921875,2023.50927734375,334.830078125
image_only,ImageOnly@0.45,textvqa,1,8,7,7,661.102424641805,661.102424641805,1.5126249166939822,0.39658274395125254,1671.21826171875,1834.97509765625,163.7568359375
image_only,ImageOnly@0.45,textvqa,2,8,6,3,1095.1069481670856,547.5534740835428,1.8263056437980434,0.3625214695930481,1689.24560546875,2024.07568359375,334.830078125
low_res,LowRes-9x9,textvqa,1,8,7,7,450.0605469303472,450.0605469303472,2.2219232652596035,0.41326530612244905,1654.13037109375,1701.22705078125,47.0966796875
low_res,LowRes-9x9,textvqa,2,8,6,3,535.2784066150585,267.63920330752927,3.736373399867566,0.413265306122449,1655.63623046875,1752.888671875,97.25244140625
